id,tenant_id,institution_id,template_id,parent_section_id,title,description,sequence,created_by,updated_by,deleted_at,deleted_by,is_evidence,is_deleted,created_at,updated_at
1,362,1870,30011,,DIAGNÓSTICO E TEORIZAÇÃO,,1,,,,,false,false,2024-05-31T21:02:18.456-03:00,2024-05-31T21:02:18.456-03:00
589,362,1870,30092,,DIAGNÓSTICO E TEORIZAÇÃO,,1,,,,,false,false,2024-05-31T21:04:15.412-03:00,2024-05-31T21:04:15.412-03:00
733,362,1870,30065,,DIAGNÓSTICO E TEORIZAÇÃO,,1,,,,,false,false,2024-05-31T21:04:43.996-03:00,2024-05-31T21:04:43.996-03:00
757,362,1870,30087,,DIAGNÓSTICO E TEORIZAÇÃO,,1,,,,,false,false,2024-05-31T21:04:48.781-03:00,2024-05-31T21:04:48.781-03:00
5,362,1870,30011,1,Situação-problema identificada,"Apresentar os problemas identificados na comunidade local que motiva a elaboração desta atividade de extensão. Nesta etapa, deve-se demonstrar de maneira clara a situação-problema vivenciada no local escolhido para realizar a sua atividade. Mas o que é uma situação-problema? É a principal “dor” ou queixa reconhecida na escuta desta comunidade.  Você deverá realizar encontros/conversas/trocas/ com os indivíduos ou grupos da comunidade local para identificar quais são estas dores. 

Exemplo: 
Nesse campo, você deve apresentar de maneira clara o problema e/ou situação-problema que demanda a elaboração da oficina para o público escolhido. Dentro do campo do Direito Cibernético, teríamos os seguintes exemplos:

1) Falta de Conhecimento sobre Proteção de Dados:

Descrição: Muitos membros da comunidade, incluindo pequenos empreendedores, não estão cientes das melhores práticas para proteger seus dados pessoais e os dados de seus clientes.
Impacto: Este desconhecimento expõe tanto indivíduos quanto negócios a riscos significativos de segurança cibernética, incluindo fraudes e ataques de hackers.

2) Baixa Conscientização sobre Crimes Cibernéticos:

Descrição: Há uma falta de entendimento sobre os tipos de crimes cibernéticos, como phishing, roubo de identidade e ataques de ransomware, e como se proteger contra eles.
Impacto: A baixa conscientização aumenta a vulnerabilidade da comunidade a esses crimes, resultando em perdas financeiras e danos à reputação.

3) Dificuldade em Navegar em Leis e Regulamentos Digitais:

Descrição: Pequenos empresários e empreendedores individuais têm dificuldades em compreender e cumprir as leis e regulamentos relacionados ao direito digital, como a Lei Geral de Proteção de Dados (LGPD).
Impacto: A não conformidade com essas leis pode levar a penalidades legais e financeiras, além de prejudicar a confiança dos clientes.

4) Desinformação e Fake News:

Descrição: A disseminação de desinformação e fake news é uma preocupação crescente, especialmente em redes sociais, onde muitos membros da comunidade obtêm suas informações.
Impacto: A desinformação pode influenciar negativamente a opinião pública, causar pânico desnecessário e prejudicar o processo democrático.

5) Insegurança Digital nas Relações de Consumo:

Descrição: Consumidores e pequenos empresários enfrentam insegurança ao realizar transações online, devido à falta de conhecimento sobre segurança digital e práticas seguras de e-commerce.
Impacto: A insegurança nas transações digitais pode levar a fraudes, perda de dinheiro e desconfiança no comércio eletrônico.

Os problemas exemplificados apresentam as seguintes justificativas para a Atividade de Extensão:

1) Clara necessidade de educação e conscientização sobre direitos cibernéticos, segurança digital e conformidade com regulamentos tecnológicos. A atividade de extensão proposta visa abordar essas ""dores"" através de uma série de workshops, palestras e projetos práticos que equipem a comunidade com o conhecimento e as ferramentas necessárias para navegar com segurança no ambiente digital.

2) Ao fornecer treinamento e recursos sobre proteção de dados, combate a crimes cibernéticos, conformidade legal e segurança nas transações online, espera-se melhorar significativamente a segurança digital e a confiança da comunidade. Além disso, será promovida a conscientização sobre os impactos da desinformação e forneceremos estratégias para identificar e combater fake news.

3) Essas ações não só beneficiarão diretamente os indivíduos e negócios locais, mas também contribuirão para o desenvolvimento de uma cultura de segurança digital e responsabilidade cibernética na comunidade como um todo.",2,,,,,false,false,2024-05-31T21:02:19.219-03:00,2024-05-31T21:02:19.219-03:00
54,362,1870,30031,49,Demanda sociocomunitária e motivação acadêmica,"Citar a situação-problema da comunidade e esclarecer de que maneira isto impacta a vida social, educacional, cultural e/ou econômica das pessoas envolvidas. Nesta etapa, você descreverá como os conteúdos estudados na disciplina permitem que ajude esta comunidade a solucionar ou reduzir as queixas identificadas. Aqui, você descobrirá a importância de estudar e como isto pode melhorar a vida das pessoas à sua volta. 



Exemplo: 
Nesse campo, você deve demonstrar como a aplicação dos conhecimentos aprendidos no ensino superior ajuda na solução de demandas reais da comunidade. Por exemplo, selecionar ingredientes adequados, utilizando critérios técnicos, para a obtenção de produtos com alta qualidade é uma competência que os alunos precisam desenvolver nesta disciplina e importante para sua formação.",3,,,,,false,false,2024-05-31T21:02:28.994-03:00,2024-05-31T21:02:28.994-03:00
2,362,1870,30011,,PLANEJAMENTO PARA DESENVOLVIMENTO DA ATIVIDADE,,2,,,,,false,false,2024-05-31T21:02:18.646-03:00,2024-05-31T21:02:18.646-03:00
3,362,1870,30011,,ENCERRAMENTO DA ATIVIDADE,,3,,,,,false,false,2024-05-31T21:02:18.826-03:00,2024-05-31T21:02:18.826-03:00
1166,362,1870,30099,,PLANEJAMENTO PARA DESENVOLVIMENTO DA ATIVIDADE,,2,,,,,false,false,2024-08-14T09:16:18.052-03:00,2024-08-14T09:16:18.052-03:00
2883,54,,109,1274,Plano de trabalho com cronograma das atividades,"Descrever o plano de trabalho (o que fazer; quando fazer; como fazer; para quem fazer, onde fazer), incluindo informações sobre cada uma das ações a serem executadas para alcançar os objetivos da atividade de extensão.  
O que fazer: indique a ação que precisa ser realizada; 
Quando fazer: quando será realizada a ação, prazo de realização; 
Como fazer: como você realizará esta ação, incluindo os recursos mínimos necessários;   
Para quem fazer: quem irá participar desta ação;  
Onde fazer: local em que realizará a ação.  

Exemplo:
Nesse campo, você deve apresentar o Plano de Trabalho: 

Objetivo: Propor a realização de um documentário ou minidocumentários que tenham o propósito de resgatar a história da comunidade local, desde o seu surgimento, até os dias de hoje, por meio de depoimentos de pessoas que estiveram presentes, bem como do levantamento de documentos que contem essa história e assegurem a preservação da memória para as atuais e futuras gerações, visando fortalecer os laços comunitários, bem como a preservação da história e memória.


Ação 1: Organização da produção do documentário ou minidocumentários

O que fazer: definir temática a ser abordada, por meio de contato com a comunidade local, observando a forma de coleta de dados, organização de cronograma e mapeamento de recursos necessários à produção.
Quando fazer: Segunda semana da atividade;
Como fazer: Estudar o conteúdo da disciplina, mapear grupos na comunidade que deverão ser consultados, organizar encontros e formas de coleta das demandas;
Para quem fazer: comunidade envolvida e empresários locais;
Onde fazer: Em local de fácil acesso para a comunidade, como clubes, associações, por meio de conversas, escuta, entrevista ou outras formas de sejam consideradas adequadas.

Ação 2: Identificar pessoas, organizações ou fatos históricos que devam ser retratados, por meio de entrevistas; realizar pesquisas e levantamentos de documentos; 

O que fazer: Pesquisas em bancos de dados e junto a moradores e organizações sociais;
Quando fazer: Segunda ou terceira semana da atividade. 
Como fazer: Por meio de encontros presenciais ou remotos, e-mail, telefone etc, com apresentação da atividade, seu objetivo, forma de coleta e captura de depoimentos, bem como finalidade da produção e recursos a serem utilizados;
Para quem fazer: Moradores locais, associações comerciais e de moradores, clubes de serviço etc.
Onde fazer: Centros comunitários, associações de moradores, igrejas, clubes e demais entidade locais.

Ação 3, 4....

Ou
Objetivo: Propor a realização de uma mostra de documentários premiados que abordem ou retratem uma ou mais demandas da comunidade, seguida de debate, em que a(s) temática(s) possa(m) ser discutida(s) e estratégias traçadas visando a superação ou o enfrentamento da situação.

Ação 1: Mapear junto à comunidade suas principais demandas que podem orientar a seleção dos documentários para a mostra, bem como dos temas a serem abordados no debate;
O que fazer: Levantamento junto à comunidade para identificar as questões que mais mobilizam os moradores, bem como as principais dificuldades que enfrentam com relação à situação-problema;
Quando fazer: segunda semana da atividade;
Como fazer: Rodas de conversa, entrevistas ou pesquisas.
Para quem fazer: Moradores, associações comerciais e comunitárias, igrejas, clubes, organizações governamentais e não-governamentais etc.
Onde fazer: Espaços comunitários ou locais onde haja capacidade de reunir pessoas da região.

Ação 2: Identificar documentários premiados no Brasil e/ou no exterior que abordem a temática do interesse da comunidade.
Quando fazer: terceira semana da atividade;
Como fazer: pesquisas na internet e junto a produtoras e organizações que premiam tais produções;
Para quem fazer: comunidade;
Onde fazer: remotamente ou em pesquisas em banco de dados.

Ação 3, 4, 5...",1,,,,,false,false,2024-10-17T12:00:51.732-03:00,2024-10-17T14:32:21.118-03:00
2884,54,,109,,PLANEJAMENTO PARA DESENVOLVIMENTO DA ATIVIDADE,,2,,,,,false,false,2024-10-17T12:00:51.906-03:00,2024-10-17T14:32:21.33-03:00
2885,54,,109,,DIAGNÓSTICO E TEORIZAÇÃO,,1,,,,,false,false,2024-10-17T12:00:52.086-03:00,2024-10-17T14:32:21.508-03:00
